timestamp,ax,ay,az
1479425728750450031,0.07,0.67,9.71
1479425728759579925,0.06,0.67,10.01
1479425728769562031,0.04,0.65,9.91
1479425728779687756,0.05,0.64,9.81
1479425728789659831,0.09,0.65,9.71
1479425728799723153,0.11,0.67,9.81
1479425728809711916,0.14,0.68,9.52
1479425728819758278,0.18,0.69,9.52
1479425728830058525,0.18,0.72,9.32
1479425728839735403,0.13,0.73,9.42
1479425728850605309,0.08,0.72,9.42
1479425728860112754,0.06,0.67,9.81
1479425728869876210,0.08,0.62,9.81
1479425728879984720,0.16,0.61,9.71
1479425728889910842,0.19,0.63,9.52
1479425728900241652,0.17,0.64,9.42
1479425728909980739,0.18,0.61,9.42
1479425728920001131,0.22,0.6,9.71
1479425728930003375,0.27,0.62,10.2
1479425728940011991,0.31,0.65,9.61
1479425728950923729,0.31,0.64,9.81
1479425728960056730,0.27,0.61,10.1
1479425728970120027,0.25,0.57,9.71
1479425728980094335,0.25,0.56,9.81
1479425728990222959,0.23,0.56,9.71
1479425729000154469,0.25,0.57,9.91
1479425729010382866,0.29,0.59,9.81
1479425729020215806,0.35,0.63,10.2
1479425729030405412,0.37,0.66,9.81
1479425729040302927,0.32,0.66,9.81
1479425729050981166,0.24,0.62,10.2
1479425729060323253,0.22,0.56,10.1
1479425729070338573,0.24,0.51,9.91
1479425729080379982,0.22,0.5,10.01
1479425729090848482,0.21,0.49,10.01
1479425729100412782,0.27,0.49,10.1
1479425729110436488,0.33,0.52,10.3
1479425729120438918,0.37,0.56,10.1
1479425729130477646,0.39,0.59,10.01
1479425729140593835,0.38,0.58,10.2
1479425729151575427,0.38,0.54,10.3
1479425729160602005,0.38,0.5,10.2
1479425729170510995,0.33,0.46,10.01
1479425729180638676,0.25,0.45,10.2
1479425729190624098,0.23,0.48,10.01
1479425729200598801,0.3,0.54,10.2
1479425729211416872,0.39,0.59,10.2
1479425729220735989,0.43,0.61,10.1
